bioactivity_status,molecule_chembl_id,canonical_smiles,pIC50,MolWT,MolLogP,num_Hdonors,num_Hacceptors
inactive,CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,31622.78,434.9230000000002,6.003500000000005,2.0,3.0
inactive,CHEMBL3959584,CC(=O)N1CCc2[nH]nc(Nc3ccccc3)c2C1,20000.0,256.309,2.0579,2.0,3.0
inactive,CHEMBL3968533,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@@H]2CCOC2)C1,20000.0,424.48000000000025,3.032300000000002,1.0,7.0
inactive,CHEMBL4059509,CCc1cc2cc(NS(=O)(=O)c3ccc(C#N)cc3)ccc2n(CC)c1=O,20000.0,381.4570000000001,3.256280000000001,1.0,5.0
inactive,CHEMBL4097025,CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,20000.0,525.6040000000002,4.354500000000004,1.0,7.0
inactive,CHEMBL4076748,CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,20000.0,510.5890000000003,4.561600000000004,0.0,7.0
inactive,CHEMBL4583297,CC1(C2CC2)NC(=O)N(CC(=O)Nc2ccc(Br)c(S(=O)(=O)N3CCCCC3)c2)C1=O,63095.73,513.4140000000003,2.2827,2.0,5.0
intermidiate,CHEMBL3785432,CCCS(=O)(=O)c1nc(NC2CC2)cc(-c2ccc3c(ccn3C3CC(C)(C)NC(C)(C)C3)c2)n1,1461.0,495.69300000000027,5.3380000000000045,2.0,7.0
inactive,CHEMBL4780530,Cc1nnc2n1-c1ccc(-c3ccc(N)nc3)cc1N(c1ccc(Cl)cc1)C[C@H]2C,15000.0,416.9160000000001,5.1285200000000035,1.0,6.0
active,CHEMBL4873093,CC1=C(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)NC2C=CC(c3cnn(C4CC4)c3)=CN2C1=O,30.0,539.6370000000002,2.3053999999999997,2.0,8.0
active,CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,350.0,458.5880000000001,2.5763000000000007,1.0,9.0
inactive,CHEMBL4846726,CCOc1c(I)cc(C(N)=O)cc1OC,13200.0,321.1140000000001,1.7974,1.0,3.0
active,CHEMBL4873093,CC1=C(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)NC2C=CC(c3cnn(C4CC4)c3)=CN2C1=O,16.0,539.6370000000002,2.3053999999999997,2.0,8.0
intermidiate,CHEMBL4069412,CN1C[C@H](Nc2cnn(C)c(=O)c2Br)C[C@H](c2ccccc2)C1,1500.0,377.2860000000001,2.4425999999999997,1.0,5.0
inactive,CHEMBL4867912,Cn1ncc(N[C@@H]2CCNC2)c(Cl)c1=O,10000.0,228.683,0.20749999999999985,2.0,5.0
inactive,CHEMBL4871852,Cn1ncc(N[C@H]2CCNC2)c(Cl)c1=O,31000.0,228.683,0.20749999999999985,2.0,5.0
inactive,CHEMBL4072538,CN1CCC[C@@H](Nc2cnn(C)c(=O)c2Cl)C1,19000.0,256.73699999999997,0.9397999999999997,1.0,5.0
intermidiate,CHEMBL4853420,Cn1ncc(NC2CNC2)c(Cl)c1=O,8700.0,214.65599999999998,-0.18260000000000004,2.0,5.0
intermidiate,CHEMBL4872107,Cn1ncc(NC2CCCCNC2)c(Cl)c1=O,7700.0,256.73699999999997,0.9877,2.0,5.0
active,CHEMBL4065579,Cn1ncc(Nc2ccccc2)c(Cl)c1=O,950.0,235.674,2.1773,1.0,4.0
intermidiate,CHEMBL4861822,Cn1ncc(Nc2ccc(N)cc2)c(Cl)c1=O,3200.0,250.689,1.7594999999999998,2.0,5.0
active,CHEMBL4850913,Cn1ncc(Nc2ccc(F)cc2)c(Cl)c1=O,700.0,253.664,2.3164,1.0,4.0
inactive,CHEMBL4857332,Cn1ncc(NCc2cccc(N)c2)c(Cl)c1=O,11000.0,264.716,1.628,2.0,5.0
active,CHEMBL4866748,Cn1ncc(Nc2ccc(CN)cc2)c(Cl)c1=O,290.0,264.716,1.636,2.0,5.0
active,CHEMBL4870218,CN(C)Cc1ccc(Nc2cnn(C)c(=O)c2Cl)cc1,310.0,292.77,2.2389,1.0,5.0
active,CHEMBL4850516,Cn1ncc(Nc2ccc3c(c2)CCNC3)c(Cl)c1=O,250.0,290.754,1.8229999999999997,2.0,5.0
active,CHEMBL4848082,Cn1ncc(Nc2ccc3c(c2)CNCC3)c(Cl)c1=O,370.0,290.754,1.8229999999999997,2.0,5.0
intermidiate,CHEMBL4858548,Cn1ncc(Nc2ccc3c(c2)CCCC3)c(Cl)c1=O,3900.0,289.766,3.0561000000000016,1.0,4.0
